customerid,campaign,pdays,previous,poutcome,y
112,1,-1,0,unknown,no
113,2,-1,0,unknown,no
114,1,-1,0,unknown,no
115,1,-1,0,unknown,no
116,2,-1,0,unknown,no
117,1,-1,0,unknown,no
118,1,-1,0,unknown,no
119,1,-1,0,unknown,no
120,1,-1,0,unknown,no
121,1,-1,0,unknown,no
122,1,-1,0,unknown,no
123,3,-1,0,unknown,no
124,2,-1,0,unknown,no
125,1,-1,0,unknown,no
126,2,-1,0,unknown,no
127,1,-1,0,unknown,no
128,1,-1,0,unknown,no
129,1,-1,0,unknown,no
130,1,-1,0,unknown,yes
131,1,-1,0,unknown,no
132,1,-1,0,unknown,no
133,1,-1,0,unknown,no
134,2,-1,0,unknown,no
135,2,-1,0,unknown,no
136,1,-1,0,unknown,no
137,1,-1,0,unknown,no
138,1,-1,0,unknown,no
139,1,-1,0,unknown,no
140,1,-1,0,unknown,no
141,1,-1,0,unknown,no
142,1,-1,0,unknown,no
143,1,-1,0,unknown,no
144,1,-1,0,unknown,no
145,1,-1,0,unknown,no
146,1,-1,0,unknown,no
147,2,-1,0,unknown,no
148,1,-1,0,unknown,no
149,2,-1,0,unknown,no
150,2,-1,0,unknown,no
151,2,-1,0,unknown,no
152,2,-1,0,unknown,no
153,1,-1,0,unknown,no
154,1,-1,0,unknown,no
155,2,-1,0,unknown,no
156,2,-1,0,unknown,no
157,1,-1,0,unknown,no
158,1,-1,0,unknown,no
159,3,-1,0,unknown,no
160,2,-1,0,unknown,no
161,1,-1,0,unknown,no
162,1,-1,0,unknown,no
163,2,-1,0,unknown,no
164,5,-1,0,unknown,no
165,1,-1,0,unknown,no
166,1,-1,0,unknown,no
167,1,-1,0,unknown,no
168,1,-1,0,unknown,no
169,2,-1,0,unknown,yes
170,3,-1,0,unknown,no
171,1,-1,0,unknown,no
172,1,-1,0,unknown,no
173,1,-1,0,unknown,no
174,1,-1,0,unknown,no
175,1,-1,0,unknown,no
176,1,-1,0,unknown,no
177,2,-1,0,unknown,no
178,2,-1,0,unknown,no
179,2,-1,0,unknown,no
180,1,-1,0,unknown,no
181,1,-1,0,unknown,no
182,2,-1,0,unknown,no
183,1,-1,0,unknown,no
184,1,-1,0,unknown,no
185,2,-1,0,unknown,no
186,1,-1,0,unknown,no
187,1,-1,0,unknown,no
188,1,-1,0,unknown,no
189,1,-1,0,unknown,no
190,1,-1,0,unknown,no
191,1,-1,0,unknown,no
192,1,-1,0,unknown,no
193,2,-1,0,unknown,no
194,1,-1,0,unknown,no
195,1,-1,0,unknown,no
196,2,-1,0,unknown,no
197,1,-1,0,unknown,no
198,1,-1,0,unknown,no
199,1,-1,0,unknown,no
200,2,-1,0,unknown,no
201,1,-1,0,unknown,no
202,1,-1,0,unknown,no
203,1,-1,0,unknown,no
204,2,-1,0,unknown,no
205,1,-1,0,unknown,no
206,2,-1,0,unknown,no
207,1,-1,0,unknown,no
208,1,-1,0,unknown,no
209,1,-1,0,unknown,no
210,1,-1,0,unknown,no
211,1,-1,0,unknown,no
212,2,-1,0,unknown,no
213,2,-1,0,unknown,no
214,1,-1,0,unknown,no
215,1,-1,0,unknown,no
216,1,-1,0,unknown,no
217,2,-1,0,unknown,no
218,3,-1,0,unknown,no
219,1,-1,0,unknown,no
220,2,-1,0,unknown,no
221,1,-1,0,unknown,no
222,1,-1,0,unknown,no
223,1,-1,0,unknown,no
224,1,-1,0,unknown,no
225,1,-1,0,unknown,no
226,2,-1,0,unknown,no
227,3,-1,0,unknown,no
228,1,-1,0,unknown,no
229,2,-1,0,unknown,no
230,1,-1,0,unknown,no
231,1,-1,0,unknown,no
232,2,-1,0,unknown,no
233,2,-1,0,unknown,no
234,1,-1,0,unknown,no
235,1,-1,0,unknown,no
236,1,-1,0,unknown,no
237,2,-1,0,unknown,no
238,1,-1,0,unknown,no
239,1,-1,0,unknown,no
240,1,-1,0,unknown,no
241,1,-1,0,unknown,no
242,1,-1,0,unknown,no
243,1,-1,0,unknown,no
244,1,-1,0,unknown,no
245,3,-1,0,unknown,no
246,2,-1,0,unknown,no
247,2,-1,0,unknown,no
248,1,-1,0,unknown,no
249,1,-1,0,unknown,no
250,2,-1,0,unknown,no
251,1,-1,0,unknown,no
252,1,-1,0,unknown,no
253,1,-1,0,unknown,no
254,1,-1,0,unknown,no
255,1,-1,0,unknown,no
256,1,-1,0,unknown,no
257,3,-1,0,unknown,no
258,2,-1,0,unknown,no
259,1,-1,0,unknown,no
260,2,-1,0,unknown,no
261,2,-1,0,unknown,no
262,2,-1,0,unknown,no
263,1,-1,0,unknown,no
264,3,-1,0,unknown,no
265,1,-1,0,unknown,no
266,2,-1,0,unknown,no
267,1,-1,0,unknown,no
268,2,-1,0,unknown,no
269,2,-1,0,unknown,no
270,1,-1,0,unknown,no
271,2,-1,0,unknown,yes
272,1,-1,0,unknown,no
273,4,-1,0,unknown,no
274,3,-1,0,unknown,no
275,2,-1,0,unknown,no
276,3,-1,0,unknown,no
277,3,-1,0,unknown,no
278,2,-1,0,unknown,no
279,2,-1,0,unknown,no
280,2,-1,0,unknown,no
281,3,-1,0,unknown,no
282,2,-1,0,unknown,no
283,4,-1,0,unknown,no
284,2,-1,0,unknown,no
285,2,-1,0,unknown,no
286,2,-1,0,unknown,no
287,2,-1,0,unknown,no
288,3,-1,0,unknown,no
289,2,-1,0,unknown,no
290,2,-1,0,unknown,no
291,2,-1,0,unknown,no
292,2,-1,0,unknown,no
293,3,-1,0,unknown,no
294,2,-1,0,unknown,no
295,4,-1,0,unknown,no
296,2,-1,0,unknown,no
297,2,-1,0,unknown,no
298,2,-1,0,unknown,no
299,3,-1,0,unknown,no
300,2,-1,0,unknown,no
301,2,-1,0,unknown,no
302,2,-1,0,unknown,no
303,2,-1,0,unknown,no
304,2,-1,0,unknown,no
305,2,-1,0,unknown,no
306,2,-1,0,unknown,no
307,2,-1,0,unknown,no
308,3,-1,0,unknown,no
309,2,-1,0,unknown,no
310,2,-1,0,unknown,no
311,2,-1,0,unknown,no
312,2,-1,0,unknown,no
313,2,-1,0,unknown,no
314,2,-1,0,unknown,no
315,2,-1,0,unknown,no
316,2,-1,0,unknown,no
317,2,-1,0,unknown,no
318,2,-1,0,unknown,no
319,2,-1,0,unknown,no
320,2,-1,0,unknown,no
321,2,-1,0,unknown,no
322,2,-1,0,unknown,no
323,3,-1,0,unknown,no
324,2,-1,0,unknown,no
325,2,-1,0,unknown,no
326,4,-1,0,unknown,no
327,3,-1,0,unknown,no
328,3,-1,0,unknown,no
329,3,-1,0,unknown,no
330,2,-1,0,unknown,no
331,3,-1,0,unknown,no
332,2,-1,0,unknown,no
333,2,-1,0,unknown,no
334,5,-1,0,unknown,no
335,3,-1,0,unknown,no
336,4,-1,0,unknown,no
337,2,-1,0,unknown,no
338,2,-1,0,unknown,no
339,3,-1,0,unknown,no
340,2,-1,0,unknown,no
341,3,-1,0,unknown,no
342,3,-1,0,unknown,no
343,2,-1,0,unknown,no
344,2,-1,0,unknown,no
345,4,-1,0,unknown,no
346,2,-1,0,unknown,no
347,4,-1,0,unknown,no
348,2,-1,0,unknown,no
349,4,-1,0,unknown,no
350,3,-1,0,unknown,no
351,2,-1,0,unknown,no
352,2,-1,0,unknown,no
353,3,-1,0,unknown,no
354,2,-1,0,unknown,no
355,3,-1,0,unknown,no
356,2,-1,0,unknown,no
357,4,-1,0,unknown,no
358,2,-1,0,unknown,no
359,4,-1,0,unknown,no
360,2,-1,0,unknown,no
361,2,-1,0,unknown,no
362,2,-1,0,unknown,no
363,3,-1,0,unknown,no
364,2,-1,0,unknown,no
365,3,-1,0,unknown,no
366,1,-1,0,unknown,no
367,1,-1,0,unknown,no
368,1,-1,0,unknown,no
369,1,-1,0,unknown,no
370,1,-1,0,unknown,no
371,1,-1,0,unknown,no
372,1,-1,0,unknown,no
373,1,-1,0,unknown,no
374,1,-1,0,unknown,no
375,1,-1,0,unknown,no
376,1,-1,0,unknown,no
377,2,-1,0,unknown,no
378,1,-1,0,unknown,no
379,1,-1,0,unknown,no
380,1,-1,0,unknown,no
381,1,-1,0,unknown,no
382,1,-1,0,unknown,no
383,3,-1,0,unknown,no
384,1,-1,0,unknown,no
385,1,-1,0,unknown,no
386,1,-1,0,unknown,no
387,1,-1,0,unknown,no
388,4,-1,0,unknown,no
389,1,-1,0,unknown,yes
390,1,-1,0,unknown,no
391,1,-1,0,unknown,yes
392,1,-1,0,unknown,no
393,1,-1,0,unknown,no
394,1,-1,0,unknown,no
395,2,-1,0,unknown,no
396,3,-1,0,unknown,no
397,1,-1,0,unknown,no
398,1,-1,0,unknown,no
399,1,-1,0,unknown,no
400,1,-1,0,unknown,no
401,1,-1,0,unknown,no
402,1,-1,0,unknown,no
403,1,-1,0,unknown,no
404,1,-1,0,unknown,no
405,2,-1,0,unknown,no
406,1,-1,0,unknown,no
407,1,-1,0,unknown,no
408,3,-1,0,unknown,no
409,1,-1,0,unknown,no
410,1,-1,0,unknown,no
411,1,-1,0,unknown,no
412,1,-1,0,unknown,no
413,1,-1,0,unknown,no
414,2,-1,0,unknown,no
415,2,-1,0,unknown,no
416,1,-1,0,unknown,no
417,1,-1,0,unknown,no
418,1,-1,0,unknown,no
419,1,-1,0,unknown,no
420,1,-1,0,unknown,no
421,3,-1,0,unknown,no
422,1,-1,0,unknown,no
423,1,-1,0,unknown,no
424,1,-1,0,unknown,no
425,3,-1,0,unknown,no
426,2,-1,0,unknown,no
427,1,-1,0,unknown,no
428,1,-1,0,unknown,no
429,1,-1,0,unknown,no
430,1,-1,0,unknown,no
431,1,-1,0,unknown,no
432,1,-1,0,unknown,no
433,1,-1,0,unknown,no
434,1,-1,0,unknown,no
435,2,-1,0,unknown,no
436,1,-1,0,unknown,no
437,1,-1,0,unknown,no
438,1,-1,0,unknown,no
439,1,-1,0,unknown,no
440,1,-1,0,unknown,no
441,1,-1,0,unknown,no
442,1,-1,0,unknown,no
443,2,-1,0,unknown,no
444,1,-1,0,unknown,no
445,1,-1,0,unknown,no
446,1,-1,0,unknown,no
447,1,-1,0,unknown,yes
448,1,-1,0,unknown,no
449,1,-1,0,unknown,no
450,1,-1,0,unknown,no
451,1,-1,0,unknown,no
452,1,-1,0,unknown,no
453,1,-1,0,unknown,no
454,2,-1,0,unknown,no
455,1,-1,0,unknown,no
456,1,-1,0,unknown,no
457,1,-1,0,unknown,no
458,1,-1,0,unknown,yes
459,1,-1,0,unknown,no
460,2,-1,0,unknown,no
461,1,-1,0,unknown,no
462,2,-1,0,unknown,no
463,1,-1,0,unknown,no
464,1,-1,0,unknown,no
465,1,-1,0,unknown,no
466,4,-1,0,unknown,no
467,1,-1,0,unknown,no
468,1,-1,0,unknown,no
469,1,-1,0,unknown,no
470,1,-1,0,unknown,no
471,1,-1,0,unknown,no
472,3,-1,0,unknown,no
473,1,-1,0,unknown,no
474,1,-1,0,unknown,no
475,1,-1,0,unknown,yes
476,2,-1,0,unknown,no
477,1,-1,0,unknown,no
478,1,-1,0,unknown,no
479,1,-1,0,unknown,no
480,1,-1,0,unknown,no
481,1,-1,0,unknown,no
482,1,-1,0,unknown,no
483,1,-1,0,unknown,no
484,1,-1,0,unknown,no
485,2,-1,0,unknown,no
486,1,-1,0,unknown,no
487,1,-1,0,unknown,no
488,1,-1,0,unknown,no
489,1,-1,0,unknown,no
490,1,-1,0,unknown,no
491,2,-1,0,unknown,no
492,1,-1,0,unknown,no
493,1,-1,0,unknown,no
494,1,-1,0,unknown,no
495,2,-1,0,unknown,no
496,2,-1,0,unknown,no
497,2,-1,0,unknown,no
498,1,-1,0,unknown,no
499,2,-1,0,unknown,no
500,1,-1,0,unknown,no
501,2,-1,0,unknown,no
502,1,-1,0,unknown,no
503,1,-1,0,unknown,no
504,1,-1,0,unknown,no
505,1,-1,0,unknown,no
506,2,-1,0,unknown,no
507,1,-1,0,unknown,no
508,1,-1,0,unknown,no
509,1,-1,0,unknown,no
510,1,-1,0,unknown,no
511,1,-1,0,unknown,no
512,1,-1,0,unknown,no
513,1,-1,0,unknown,yes
514,1,-1,0,unknown,no
515,1,-1,0,unknown,no
516,3,-1,0,unknown,no
517,2,-1,0,unknown,no
518,1,-1,0,unknown,no
519,1,-1,0,unknown,no
520,1,-1,0,unknown,no
521,1,-1,0,unknown,no
522,1,-1,0,unknown,no
523,1,-1,0,unknown,no
524,1,-1,0,unknown,no
525,2,-1,0,unknown,no
526,2,-1,0,unknown,no
527,2,-1,0,unknown,no
528,1,-1,0,unknown,no
529,1,-1,0,unknown,no
530,1,-1,0,unknown,no
531,1,-1,0,unknown,no
532,3,-1,0,unknown,no
533,1,-1,0,unknown,no
534,1,-1,0,unknown,no
535,1,-1,0,unknown,no
536,2,-1,0,unknown,no
537,1,-1,0,unknown,no
538,2,-1,0,unknown,no
539,1,-1,0,unknown,no
540,2,-1,0,unknown,no
541,1,-1,0,unknown,no
542,1,-1,0,unknown,no
543,1,-1,0,unknown,no
544,1,-1,0,unknown,no
545,1,-1,0,unknown,no
546,1,-1,0,unknown,no
547,1,-1,0,unknown,no
548,1,-1,0,unknown,no
549,1,-1,0,unknown,no
550,1,-1,0,unknown,no
551,2,-1,0,unknown,no
552,2,-1,0,unknown,no
553,1,-1,0,unknown,no
554,1,-1,0,unknown,no
555,1,-1,0,unknown,no
556,2,-1,0,unknown,no
557,2,-1,0,unknown,no
558,2,-1,0,unknown,no
559,2,-1,0,unknown,no
560,2,-1,0,unknown,no
561,1,-1,0,unknown,no
562,1,-1,0,unknown,no
563,2,-1,0,unknown,no
564,2,-1,0,unknown,no
565,1,-1,0,unknown,no
566,1,-1,0,unknown,no
567,1,-1,0,unknown,no
568,1,-1,0,unknown,no
569,1,-1,0,unknown,no
570,3,-1,0,unknown,yes
571,1,-1,0,unknown,no
572,1,-1,0,unknown,no
573,1,-1,0,unknown,no
574,1,-1,0,unknown,no
575,1,-1,0,unknown,no
576,1,-1,0,unknown,no
577,1,-1,0,unknown,no
578,2,-1,0,unknown,no
579,3,-1,0,unknown,no
580,2,-1,0,unknown,no
581,2,-1,0,unknown,no
582,2,-1,0,unknown,no
583,2,-1,0,unknown,no
584,2,-1,0,unknown,no
585,4,-1,0,unknown,no
586,2,-1,0,unknown,no
587,2,-1,0,unknown,no
588,3,-1,0,unknown,no
589,1,-1,0,unknown,no
590,2,-1,0,unknown,no
591,3,-1,0,unknown,no
592,1,-1,0,unknown,no
593,2,-1,0,unknown,no
594,1,-1,0,unknown,no
595,2,-1,0,unknown,no
596,2,-1,0,unknown,no
597,3,-1,0,unknown,no
598,2,-1,0,unknown,no
599,1,-1,0,unknown,no
600,5,-1,0,unknown,no
601,3,-1,0,unknown,no
602,2,-1,0,unknown,no
603,2,-1,0,unknown,no
604,2,-1,0,unknown,no
605,1,-1,0,unknown,no
606,1,-1,0,unknown,no
607,2,-1,0,unknown,no
608,1,-1,0,unknown,no
609,1,-1,0,unknown,no
610,1,-1,0,unknown,no
611,1,-1,0,unknown,no
612,1,-1,0,unknown,no
613,1,-1,0,unknown,no
614,1,-1,0,unknown,no
615,1,-1,0,unknown,no
616,1,-1,0,unknown,no
617,1,-1,0,unknown,no
618,1,-1,0,unknown,no
619,2,-1,0,unknown,no
620,2,-1,0,unknown,no
621,3,-1,0,unknown,no
622,1,-1,0,unknown,no
623,2,-1,0,unknown,no
624,1,-1,0,unknown,no
625,1,-1,0,unknown,yes
626,3,-1,0,unknown,no
627,1,-1,0,unknown,no
628,2,-1,0,unknown,no
629,4,-1,0,unknown,no
630,2,-1,0,unknown,no
631,2,-1,0,unknown,no
632,3,-1,0,unknown,no
633,1,-1,0,unknown,no
634,3,-1,0,unknown,no
635,2,-1,0,unknown,no
636,2,-1,0,unknown,no
637,1,-1,0,unknown,no
638,1,-1,0,unknown,no
639,4,-1,0,unknown,no
640,2,-1,0,unknown,no
641,2,-1,0,unknown,no
642,2,-1,0,unknown,no
643,1,-1,0,unknown,no
644,1,-1,0,unknown,no
645,2,-1,0,unknown,no
646,2,-1,0,unknown,no
647,2,-1,0,unknown,no
648,3,-1,0,unknown,no
649,2,-1,0,unknown,no
650,3,-1,0,unknown,no
651,2,-1,0,unknown,no
652,2,-1,0,unknown,no
653,3,-1,0,unknown,no
654,1,-1,0,unknown,no
655,1,-1,0,unknown,no
656,1,-1,0,unknown,no
657,2,-1,0,unknown,no
658,1,-1,0,unknown,no
659,1,-1,0,unknown,no
660,1,-1,0,unknown,no
661,1,-1,0,unknown,no
662,1,-1,0,unknown,no
663,1,-1,0,unknown,no
664,2,-1,0,unknown,no
665,2,-1,0,unknown,no
666,3,-1,0,unknown,no
667,2,-1,0,unknown,no
668,2,-1,0,unknown,no
669,4,-1,0,unknown,no
670,2,-1,0,unknown,no
671,3,-1,0,unknown,no
672,2,-1,0,unknown,no
673,3,-1,0,unknown,no
674,2,-1,0,unknown,no
675,2,-1,0,unknown,no
676,1,-1,0,unknown,no
677,3,-1,0,unknown,no
678,2,-1,0,unknown,no
679,1,-1,0,unknown,no
680,3,-1,0,unknown,no
681,2,-1,0,unknown,no
682,2,-1,0,unknown,no
683,1,-1,0,unknown,no
684,1,-1,0,unknown,no
685,3,-1,0,unknown,no
686,2,-1,0,unknown,no
687,2,-1,0,unknown,no
688,2,-1,0,unknown,no
689,2,-1,0,unknown,no
690,2,-1,0,unknown,no
691,2,-1,0,unknown,no
692,2,-1,0,unknown,no
693,3,-1,0,unknown,no
694,2,-1,0,unknown,no
695,2,-1,0,unknown,yes
696,2,-1,0,unknown,no
697,3,-1,0,unknown,no
698,2,-1,0,unknown,no
699,2,-1,0,unknown,no
700,3,-1,0,unknown,no
701,2,-1,0,unknown,no
702,2,-1,0,unknown,no
703,3,-1,0,unknown,no
704,2,-1,0,unknown,no
705,2,-1,0,unknown,no
706,2,-1,0,unknown,no
707,6,-1,0,unknown,no
708,3,-1,0,unknown,no
709,2,-1,0,unknown,no
710,2,-1,0,unknown,no
711,2,-1,0,unknown,no
712,2,-1,0,unknown,no
713,3,-1,0,unknown,no
714,3,-1,0,unknown,no
715,3,-1,0,unknown,no
716,4,-1,0,unknown,no
717,2,-1,0,unknown,no
718,2,-1,0,unknown,no
719,2,-1,0,unknown,no
720,2,-1,0,unknown,no
721,3,-1,0,unknown,no
722,5,-1,0,unknown,no
723,3,-1,0,unknown,no
724,2,-1,0,unknown,no
725,2,-1,0,unknown,no
726,2,-1,0,unknown,no
727,5,-1,0,unknown,no
728,3,-1,0,unknown,no
729,2,-1,0,unknown,no
730,2,-1,0,unknown,no
731,2,-1,0,unknown,no
732,2,-1,0,unknown,no
733,4,-1,0,unknown,no
734,3,-1,0,unknown,no
735,3,-1,0,unknown,no
736,3,-1,0,unknown,no
737,2,-1,0,unknown,no
738,3,-1,0,unknown,no
739,3,-1,0,unknown,no
740,2,-1,0,unknown,no
741,2,-1,0,unknown,no
742,3,-1,0,unknown,no
743,2,-1,0,unknown,no
744,2,-1,0,unknown,no
745,5,-1,0,unknown,no
746,3,-1,0,unknown,no
747,2,-1,0,unknown,no
748,2,-1,0,unknown,no
749,2,-1,0,unknown,no
750,3,-1,0,unknown,no
751,3,-1,0,unknown,no
752,2,-1,0,unknown,no
753,2,-1,0,unknown,no
754,3,-1,0,unknown,no
755,2,-1,0,unknown,no
756,3,-1,0,unknown,no
757,3,-1,0,unknown,no
758,3,-1,0,unknown,no
759,7,-1,0,unknown,no
760,5,-1,0,unknown,no
761,3,-1,0,unknown,no
762,2,-1,0,unknown,no
763,3,-1,0,unknown,no
764,2,-1,0,unknown,no
765,3,-1,0,unknown,no
766,2,-1,0,unknown,no
767,2,-1,0,unknown,no
768,3,-1,0,unknown,no
769,3,-1,0,unknown,no
770,3,-1,0,unknown,no
771,3,-1,0,unknown,no
772,3,-1,0,unknown,no
773,4,-1,0,unknown,no
774,2,-1,0,unknown,no
775,3,-1,0,unknown,no
776,2,-1,0,unknown,no
777,3,-1,0,unknown,no
778,4,-1,0,unknown,no
779,2,-1,0,unknown,no
780,2,-1,0,unknown,no
781,8,-1,0,unknown,no
782,4,-1,0,unknown,no
783,3,-1,0,unknown,no
784,2,-1,0,unknown,no
785,2,-1,0,unknown,no
786,2,-1,0,unknown,no
787,2,-1,0,unknown,no
788,2,-1,0,unknown,no
789,3,-1,0,unknown,no
790,1,-1,0,unknown,no
791,2,-1,0,unknown,no
792,2,-1,0,unknown,no
793,1,-1,0,unknown,no
794,1,-1,0,unknown,no
795,1,-1,0,unknown,no
796,3,-1,0,unknown,no
797,1,-1,0,unknown,no
798,6,-1,0,unknown,no
799,2,-1,0,unknown,no
800,4,-1,0,unknown,no
801,1,-1,0,unknown,no
802,1,-1,0,unknown,no
803,3,-1,0,unknown,no
804,2,-1,0,unknown,no
805,1,-1,0,unknown,no
806,1,-1,0,unknown,no
807,1,-1,0,unknown,no
808,1,-1,0,unknown,no
809,1,-1,0,unknown,no
810,1,-1,0,unknown,no
811,1,-1,0,unknown,no
812,3,-1,0,unknown,no
813,1,-1,0,unknown,no
814,2,-1,0,unknown,no
815,1,-1,0,unknown,no
816,3,-1,0,unknown,no
817,2,-1,0,unknown,no
818,3,-1,0,unknown,no
819,2,-1,0,unknown,no
820,1,-1,0,unknown,no
821,1,-1,0,unknown,no
822,1,-1,0,unknown,no
823,1,-1,0,unknown,no
824,1,-1,0,unknown,no
825,1,-1,0,unknown,no
826,1,-1,0,unknown,no
827,1,-1,0,unknown,no
828,1,-1,0,unknown,no
829,1,-1,0,unknown,no
830,2,-1,0,unknown,no
831,2,-1,0,unknown,no
832,1,-1,0,unknown,no
833,1,-1,0,unknown,no
834,1,-1,0,unknown,no
835,1,-1,0,unknown,no
836,1,-1,0,unknown,no
837,1,-1,0,unknown,no
838,1,-1,0,unknown,no
839,1,-1,0,unknown,no
840,2,-1,0,unknown,no
841,3,-1,0,unknown,no
842,1,-1,0,unknown,no
843,1,-1,0,unknown,no
844,6,-1,0,unknown,no
845,1,-1,0,unknown,no
846,3,-1,0,unknown,no
847,1,-1,0,unknown,no
848,1,-1,0,unknown,no
849,1,-1,0,unknown,no
850,2,-1,0,unknown,yes
851,1,-1,0,unknown,no
852,1,-1,0,unknown,no
853,1,-1,0,unknown,no
854,1,-1,0,unknown,no
855,1,-1,0,unknown,no
856,1,-1,0,unknown,no
857,2,-1,0,unknown,no
858,1,-1,0,unknown,no
859,1,-1,0,unknown,no
860,1,-1,0,unknown,no
861,1,-1,0,unknown,no
862,1,-1,0,unknown,no
863,1,-1,0,unknown,no
864,1,-1,0,unknown,no
865,3,-1,0,unknown,no
866,1,-1,0,unknown,no
867,1,-1,0,unknown,no
868,1,-1,0,unknown,no
869,1,-1,0,unknown,no
870,1,-1,0,unknown,no
871,1,-1,0,unknown,no
872,2,-1,0,unknown,no
873,1,-1,0,unknown,no
874,2,-1,0,unknown,no
875,2,-1,0,unknown,no
876,2,-1,0,unknown,no
877,1,-1,0,unknown,no
878,1,-1,0,unknown,yes
879,1,-1,0,unknown,no
880,1,-1,0,unknown,no
881,2,-1,0,unknown,no
882,1,-1,0,unknown,no
883,1,-1,0,unknown,no
884,2,-1,0,unknown,no
885,1,-1,0,unknown,no
886,1,-1,0,unknown,no
887,1,-1,0,unknown,no
888,2,-1,0,unknown,no
889,1,-1,0,unknown,no
890,1,-1,0,unknown,no
891,1,-1,0,unknown,no
892,1,-1,0,unknown,yes
893,1,-1,0,unknown,no
894,1,-1,0,unknown,no
895,1,-1,0,unknown,no
896,1,-1,0,unknown,no
897,1,-1,0,unknown,no
898,1,-1,0,unknown,yes
899,2,-1,0,unknown,no
900,1,-1,0,unknown,no
901,1,-1,0,unknown,no
902,2,-1,0,unknown,no
903,2,-1,0,unknown,no
904,1,-1,0,unknown,no
905,1,-1,0,unknown,no
906,1,-1,0,unknown,no
907,7,-1,0,unknown,no
908,1,-1,0,unknown,no
909,5,-1,0,unknown,no
910,5,-1,0,unknown,no
911,6,-1,0,unknown,no
912,2,-1,0,unknown,no
913,1,-1,0,unknown,no
914,2,-1,0,unknown,no
915,1,-1,0,unknown,no
916,1,-1,0,unknown,no
917,1,-1,0,unknown,no
918,1,-1,0,unknown,no
919,2,-1,0,unknown,no
920,1,-1,0,unknown,no
921,2,-1,0,unknown,no
922,2,-1,0,unknown,no
923,2,-1,0,unknown,no
924,2,-1,0,unknown,no
925,1,-1,0,unknown,no
926,1,-1,0,unknown,no
927,1,-1,0,unknown,no
928,2,-1,0,unknown,no
929,1,-1,0,unknown,no
